id;config_key;config_value;description;country_code
1;lonely young odd;tabulate briskly fatally;concerning;JM
2;onto;ideal gadzooks silk;an;ZM
3;clamp finding;apropos;nightlife uh-huh;JM
4;ha;reproachfully crystallize dampen;unfreeze;BQ
5;seriously miserably;at;beside lack;TD
6;gee from sarcastic;pace;yippee;MX
7;pish total whoa;whenever into;dark suddenly responsibility;GQ
8;sorrowful;wilderness positively provided;whoever after;VC
9;provision trek;physical;boohoo;TG
10;gray;down qua er;randomize;SJ
